Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR32764071_1 - polya	(1, 0.004223827877820807)	(2, 0.01224194181537895)	(3, 0.019894149759754873)	(4, 0.027685561071102295)	(5, 0.03565992537904083)	(6, 0.04360247177452873)	(7, 0.05120297561117238)	(8, 0.05887506975082995)	(9, 0.06673409412613496)	(10, 0.07793996516734034)	(12, 0.09188416529882787)	(14, 0.10539484637317559)	(16, 0.11843820185840473)	(18, 0.13142587599684524)	(20, 0.1448072968018623)	(22, 0.1585088853509138)	(24, 0.1728150142365272)	(26, 0.18673733955320493)	(28, 0.20123039867446577)	(30, 0.21635981604473917)	(32, 0.23158866439142078)	(34, 0.24699251125658084)	(36, 0.2624142556974944)	(38, 0.27841866566016005)	(40, 0.2943276218854738)	(42, 0.310133169895323)	(44, 0.3261196822822352)	(46, 0.3418317651742607)	(48, 0.35756572288109606)	(50, 0.3734030888033959)	(52, 0.3888705714934573)	(54, 0.40405964744957557)	(56, 0.41958082286689735)	(58, 0.43532870091042974)	(60, 0.4509055576745401)	(62, 0.46605287262056705)	(64, 0.4815024577348749)	(66, 0.4968287484384365)	(68, 0.5119561771891817)	(70, 0.5271313328086029)	(72, 0.5427002350946006)	(74, 0.5578197093672332)	(76, 0.5728278209462886)	(78, 0.5880168969024069)	(80, 0.6034843795924683)	(82, 0.6187569775687695)	(84, 0.6339182128514935)	(86, 0.6493856955415548)	(88, 0.6649307343932145)	(90, 0.6801894120328186)	(92, 0.6952909887296976)	(94, 0.7103249523626192)	(96, 0.7255080624601531)	(98, 0.7406514001671236)	(100, 0.7554865018472287)	(102, 0.7707869404969242)	(104, 0.7860893677661479)	(106, 0.801457419479801)	(108, 0.8164595652002719)	(110, 0.8314080181934824)	(112, 0.8460422693012428)	(114, 0.8607302131362637)	(116, 0.875481792796186)	(118, 0.8901776911093195)	(120, 0.9045832509713412)	(122, 0.9188595505640322)	(124, 0.933654879853574)	(126, 0.9483666871229328)	(128, 0.963032756143144)	(130, 0.9773150215944195)	(132, 0.9916291049581455)	(134, 1.00568466778321)	(136, 1.0195910841436626)	(138, 1.033195230335834)
SRR32764071_2 - polya	(1, 0.00434314504951066)	(2, 0.01144649400411326)	(3, 0.018366889962124752)	(4, 0.025502056829177982)	(5, 0.032545747197935654)	(6, 0.03958943756669333)	(7, 0.04659733278394405)	(8, 0.05308420968481574)	(9, 0.0595949500200254)	(10, 0.06910452860370671)	(12, 0.08138624280964893)	(14, 0.09365204805936586)	(16, 0.1058502402451252)	(18, 0.11792314940061019)	(20, 0.130006001653736)	(22, 0.14260191774512818)	(24, 0.15528334447623143)	(26, 0.16809800871572167)	(28, 0.18161067840959755)	(30, 0.19584322837266888)	(32, 0.2106445235207952)	(34, 0.22592109873615274)	(36, 0.24132892284036914)	(38, 0.25737310519359813)	(40, 0.2728624626984692)	(42, 0.2892367558933734)	(44, 0.3050184404688847)	(46, 0.3208319429568466)	(48, 0.3362437443001193)	(50, 0.3523117900876862)	(52, 0.3677295572895434)	(54, 0.3833521523028015)	(56, 0.3983741842185541)	(58, 0.4138078603766366)	(60, 0.429591533571676)	(62, 0.4447110078443086)	(64, 0.4600293440697576)	(66, 0.47498774016060885)	(68, 0.4904055073624661)	(70, 0.5054653230492537)	(72, 0.5199444618338175)	(74, 0.5348511538169365)	(76, 0.5503723292342582)	(78, 0.565748335426024)	(80, 0.580995081348459)	(82, 0.5958580237019584)	(84, 0.610868123900542)	(86, 0.6259100420115762)	(88, 0.6407829274627164)	(90, 0.6555205867859414)	(92, 0.6700733044930471)	(94, 0.6850436323010675)	(96, 0.7001372545198339)	(98, 0.7146521884559045)	(100, 0.7296165504053402)	(102, 0.7442428470349882)	(104, 0.7587915875030375)	(106, 0.7731991359845873)	(108, 0.7879626473616785)	(110, 0.8025929212303828)	(112, 0.8173604098465304)	(114, 0.8322551701124803)	(116, 0.8469351594693886)	(118, 0.8609847564358688)	(120, 0.8752869080824259)	(122, 0.8894578108401241)	(124, 0.9035352484799987)	(126, 0.917682287803359)	(128, 0.9316344424129591)	(130, 0.9460618770897906)	(132, 0.9595526719688566)	(134, 0.9730136375550003)	(136, 0.986669487854904)	(138, 0.9999832955959634)
SRR32764072_1 - polya	(1, 0.022746050793775698)	(2, 0.02998790156001023)	(3, 0.03700843939960262)	(4, 0.04377077882477918)	(5, 0.05095935055311838)	(6, 0.05765611577780838)	(7, 0.06418074872622116)	(8, 0.07043488809762687)	(9, 0.07661935488101561)	(10, 0.08563580744791768)	(12, 0.09750883612351556)	(14, 0.10950071803749532)	(16, 0.1214085830071017)	(18, 0.13345169476521157)	(20, 0.14580013639433703)	(22, 0.15802357720378496)	(24, 0.17113431891356665)	(26, 0.18415284690391415)	(28, 0.19758941042236344)	(30, 0.21124728686745486)	(32, 0.2253969698161955)	(34, 0.24010813185660235)	(36, 0.25469019468980125)	(38, 0.2689915179771671)	(40, 0.2833830057902019)	(42, 0.29832777591984205)	(44, 0.31253073790647806)	(46, 0.32680747086866146)	(48, 0.34064977475262137)	(50, 0.35504536095318656)	(52, 0.3694307011849258)	(54, 0.38388571400468197)	(56, 0.39811941389779604)	(58, 0.41277319851277716)	(60, 0.4268900943612745)	(62, 0.4407303490514692)	(64, 0.4549005239378619)	(66, 0.4688206971848996)	(68, 0.48300726562141394)	(70, 0.49725940825841486)	(72, 0.5113885992695034)	(74, 0.5259788588777632)	(76, 0.5405834628423793)	(78, 0.5547147030472331)	(80, 0.5690570102099031)	(82, 0.5833112020406691)	(84, 0.5971883422186375)	(86, 0.6116023711630896)	(88, 0.6259426291319943)	(90, 0.6403197725886727)	(92, 0.6543874877868052)	(94, 0.6685207771854242)	(96, 0.6828159528914943)	(98, 0.6964492390114034)	(100, 0.7101542469130945)	(102, 0.7241707322670968)	(104, 0.73819541439616)	(106, 0.7518922255227902)	(108, 0.7655173148676385)	(110, 0.7792407655132165)	(112, 0.7929129863146643)	(114, 0.8063106151515748)	(116, 0.8199234093338317)	(118, 0.8338271890307477)	(120, 0.8477699034092027)	(122, 0.8610999088518614)	(124, 0.8742987658935468)	(126, 0.8874586882536935)	(128, 0.9007497590148132)	(130, 0.9137559918425695)	(132, 0.9271884569734883)	(134, 0.9400737873690974)		
SRR32764072_2 - polya	(1, 0.01845503904943639)	(2, 0.024590325182460213)	(3, 0.030549380651676405)	(4, 0.036455157082997264)	(5, 0.042451098039987145)	(6, 0.04826670994563899)	(7, 0.053656089548128186)	(8, 0.0591356336762864)	(9, 0.0642381261516469)	(10, 0.07245539315011901)	(12, 0.08289398619007338)	(14, 0.09354979376913947)	(16, 0.10418920779808392)	(18, 0.11506427911002695)	(20, 0.1259967278473957)	(22, 0.13760950891481255)	(24, 0.14966286664174847)	(26, 0.1621690961907947)	(28, 0.17530852661328927)	(30, 0.18877992642574704)	(32, 0.2025587053029856)	(34, 0.21662846969488325)	(36, 0.23082528410022363)	(38, 0.24506922996216368)	(40, 0.25910620725381805)	(42, 0.2734423668351924)	(44, 0.28757770542757655)	(46, 0.3013728778549367)	(48, 0.315338133364809)	(50, 0.3292849461307943)	(52, 0.34305757742673726)	(54, 0.35634864818785694)	(56, 0.370332346441616)	(58, 0.38410702693132415)	(60, 0.3976931815946334)	(62, 0.4113469596521944)	(64, 0.4246728667073226)	(66, 0.4382467262080407)	(68, 0.45189845507183657)	(70, 0.4653063298775729)	(72, 0.47877158210873516)	(74, 0.4923269988655663)	(76, 0.5062287293687172)	(78, 0.5201693945534069)	(80, 0.5339379274618195)	(82, 0.547456458730877)	(84, 0.5607126931979882)	(86, 0.5737517131259877)	(88, 0.5870837677624116)	(90, 0.6005469707998086)	(92, 0.61340566167647)	(94, 0.6263852549852786)	(96, 0.639483701532469)	(98, 0.652866986013023)	(100, 0.6662318277496901)	(102, 0.6793466678470023)	(104, 0.6921233909730555)	(106, 0.7049247044242913)	(108, 0.7173079823474253)	(110, 0.7300150328854615)	(112, 0.7432999560652858)	(114, 0.7560397937035652)	(116, 0.7689538128118873)	(118, 0.7818309464324357)	(120, 0.7947060308592188)	(122, 0.8073741467157162)	(124, 0.8196078334939901)	(126, 0.8322472606377747)	(128, 0.844714555505282)	(130, 0.8572146374730326)	(132, 0.8695200460330887)	(134, 0.8812598771139483)		
SRR7135493_1 - polya	(1, 0.037102214600809584)	(2, 0.04329031355218291)	(3, 0.04926957790306584)	(4, 0.05493009470583184)	(5, 0.06088517820823694)	(6, 0.067163405776664)	(7, 0.07370762267834728)	(8, 0.08028261520536596)	(9, 0.08647730893359688)	(10, 0.09279950168107456)	(11, 0.0992184178224636)	(12, 0.10524824212925472)	(13, 0.11098789625431182)	(14, 0.11663742176231519)	(15, 0.12210229351830598)	(16, 0.1273099689768507)	(17, 0.1327968233223668)	(18, 0.13793415449443056)	(19, 0.1430275204874437)	(20, 0.1481978255437954)	(21, 0.153612137343878)	(22, 0.1588176145434702)	(23, 0.16380986062466693)	(24, 0.1690549064854047)	(25, 0.17440327051691135)	(26, 0.17943728351820618)	(27, 0.18477245799599767)	(28, 0.1898944013553937)	(29, 0.19503612904536252)	(30, 0.2002987609777205)	(31, 0.20554600509741078)	(32, 0.2107602753328131)	(33, 0.2160009246756458)	(34, 0.22157131286135806)	(35, 0.2267679970251401)	(36, 0.2321009732439791)	(37, 0.23764937884016604)	(38, 0.24287683862928355)	(39, 0.2479350324790562)	(40, 0.25331856865380337)	(41, 0.2587284839359809)	(42, 0.26403288278843695)	(43, 0.2693174973103203)	(44, 0.2746218961627763)	(45, 0.2798779333182767)	(46, 0.28524388342140367)	(47, 0.2908802193756918)	(48, 0.2963802632749231)	(49, 0.3017374203422399)	(50, 0.3069692766492625)	(51, 0.31225389117114577)	(52, 0.3178154863210479)	(53, 0.32302536003854515)	(54, 0.32858475692949474)	(55, 0.33392872444309635)	(56, 0.33934743276108403)	(57, 0.34444079875409717)	(58, 0.3497012324275026)	(59, 0.3549924417262435)	(60, 0.3606969237080601)	(61, 0.36626511363481984)	(62, 0.3716464515506145)	(63, 0.37710253027079516)	(64, 0.3826443410901245)	(65, 0.3880036964163939)	(66, 0.3933146900457075)	(67, 0.3987993461322711)	(68, 0.4043719325769359)	(69, 0.40990275210150257)	(70, 0.4151697805517656)	(71, 0.42031150824173447)	(72, 0.4257016391933392)		
SRR7135493_2 - polya	(1, 0.05337372736744026)	(2, 0.06125888223016712)	(3, 0.06880330695525176)	(4, 0.07499360416557761)	(5, 0.08191372334814359)	(6, 0.08926470128540555)	(7, 0.0967607643135345)	(8, 0.10443488631681844)	(9, 0.11172651126236208)	(10, 0.11885986156332351)	(11, 0.12600859967695266)	(12, 0.13308699350410083)	(13, 0.1401851716618218)	(14, 0.14704813611162196)	(15, 0.15363631819235585)	(16, 0.16013656991498848)	(17, 0.16666539900400404)	(18, 0.1729128509470957)	(19, 0.17934056012429483)	(20, 0.18557702077262384)	(21, 0.1917255510628516)	(22, 0.19823019930338934)	(23, 0.20474144232078464)	(24, 0.21093833430796807)	(25, 0.21725173401963563)	(26, 0.22344422948891401)	(27, 0.22978400830801196)	(28, 0.2360886149838694)	(29, 0.24227671393524272)	(30, 0.2483175295367965)	(31, 0.2544133016121635)	(32, 0.26082342471774245)	(33, 0.26701811844597334)	(34, 0.2732523808353498)	(35, 0.27960534920816293)	(36, 0.2861781434762291)	(37, 0.29259046484076057)	(38, 0.29900058794633944)	(39, 0.30542609886458605)	(40, 0.311620792592817)	(41, 0.3182001816377407)	(42, 0.32455974478741145)	(43, 0.3311039616890947)	(44, 0.33729425889942055)	(45, 0.34342959963593317)	(46, 0.3496550689894995)	(47, 0.35562993682247734)	(48, 0.3616355802807906)	(49, 0.36791380784921773)	(50, 0.374242595373553)	(51, 0.3800745763746164)	(52, 0.3860582372434044)	(53, 0.3920946563270531)	(54, 0.3983838751902428)	(55, 0.4043015882904549)	(56, 0.4102874474181954)	(57, 0.41631067694812895)	(58, 0.4220701154037588)	(59, 0.4280801553799772)	(60, 0.43396709285485385)	(61, 0.43969795394410083)	(62, 0.4457035974024141)	(63, 0.451682861753297)	(64, 0.4575236357901706)	(65, 0.4632676864331327)	(66, 0.4689677718970443)	(67, 0.4749382432121171)	(68, 0.4805987600148831)	(69, 0.486507680079285)	(70, 0.4921879812126238)	(71, 0.49779134328262403)	(72, 0.5033331541019535)		
SRR7135521_1 - illumina_universal_adapter	(1, 5.5984560577883835e-06)	(2, 0.00020714287413817016)	(3, 0.00034710427558287975)	(4, 0.0005682432898655209)	(5, 0.0008453668647260458)	(6, 0.001052509738864216)	(7, 0.0013044402614646932)	(8, 0.0015451738719495936)	(9, 0.0018670850952724257)	(10, 0.0024633206654268887)	(12, 0.00525275139621995)	(14, 0.011080744152377657)	(16, 0.0175427620570799)	(18, 0.024844548370450397)	(20, 0.032258303804976664)	(22, 0.03929976191166)	(24, 0.04559662536265749)	(26, 0.05106071847505895)	(28, 0.05583340226432354)	(30, 0.05981950297746887)	(32, 0.06314918471783851)	(34, 0.06605058456978735)	(36, 0.06849431063901198)	(38, 0.07037119303238554)	(40, 0.07184078774755498)	(42, 0.07310044036055736)	(44, 0.07430270879896742)	(46, 0.07534122239768717)	(48, 0.07627756417335227)	(50, 0.07716072061646839)	(52, 0.07815304695271139)	(54, 0.07916496788515663)	(56, 0.08016289267745741)	(58, 0.08128958195908732)	(60, 0.08238687934641385)	(62, 0.0836367346613151)	(64, 0.0849383756947509)	(66, 0.08644016153225263)	(68, 0.08801892614054896)	(70, 0.09002597263726608)	(72, 0.09213099211499452)	(74, 0.09465729541107154)	(76, 0.09766506592811834)	(78, 0.1010843229654126)	(80, 0.10516979627358367)	(82, 0.10967935262813222)	(84, 0.11509166002199914)	(86, 0.12137872617489548)	(88, 0.12870710515454048)	(90, 0.13721535874836438)	(92, 0.14720860281151665)	(94, 0.1588547910257309)	(96, 0.1725066261226479)	(98, 0.1886581718493674)	(100, 0.20713727568211238)	(102, 0.22854857087512404)	(104, 0.2536464493821894)	(106, 0.2829487683886538)	(108, 0.31620639659994565)	(110, 0.35449703680718936)	(112, 0.3976233434343477)	(114, 0.4467735887796863)	(116, 0.5023592593634527)	(118, 0.5651179517712606)	(120, 0.6348495211990437)	(122, 0.7118786780981541)	(124, 0.7975826426588075)	(126, 0.8905422062703547)	(128, 0.9925642706254469)	(130, 1.1034332951658592)	(132, 1.223795901566266)	(134, 1.3516688367681962)	(136, 1.488194185807438)	(138, 1.6335762923301012)
SRR7135521_1 - polya	(1, 0.020459557663187647)	(2, 0.02444845760436187)	(3, 0.028213419303224557)	(4, 0.032507435099548246)	(5, 0.03729131580092842)	(6, 0.04256226217933618)	(7, 0.047931181538755245)	(8, 0.05309295802403613)	(9, 0.05791042946176304)	(10, 0.06536197447467937)	(12, 0.07500391542020542)	(14, 0.08433094321248086)	(16, 0.09347182234083484)	(18, 0.10231318407009715)	(20, 0.11107616741455041)	(22, 0.11962640942880773)	(24, 0.12827602403809077)	(26, 0.1369452332435761)	(28, 0.14572361234218828)	(30, 0.1543340377590668)	(32, 0.16305223345505776)	(34, 0.17186420329001667)	(36, 0.18080493761430472)	(38, 0.18987163719989303)	(40, 0.19909089471305602)	(42, 0.20844171594357708)	(44, 0.21779113756008367)	(46, 0.22732390861248286)	(48, 0.23735494225402518)	(50, 0.24751054154285332)	(52, 0.25792786865238304)	(54, 0.268921836735865)	(56, 0.28034828554981106)	(58, 0.292519329019443)	(60, 0.3048303338905197)	(62, 0.3177641669980253)	(64, 0.330945731786088)	(66, 0.34453738348038376)	(68, 0.35827879387422534)	(70, 0.372098582652876)	(72, 0.3859267691156133)	(74, 0.4002266255012193)	(76, 0.41524868271827997)	(78, 0.4315079987241119)	(80, 0.44791147497343187)	(82, 0.4647908199876638)	(84, 0.4814952132500899)	(86, 0.49782171072861525)	(88, 0.5138682854042512)	(90, 0.5293830067543972)	(92, 0.5447885582114165)	(94, 0.5597392351137402)	(96, 0.5747235027524109)	(98, 0.5898309364243529)	(100, 0.6046514492233332)	(102, 0.6190338828357915)	(104, 0.6330720114006959)	(106, 0.6475384218540211)	(108, 0.6619936353952307)	(110, 0.6763970632179057)	(112, 0.6904771802032436)	(114, 0.7049183976043087)	(116, 0.7189719219233719)	(118, 0.733259181782848)	(120, 0.7475926289048007)	(122, 0.7619526686930278)	(124, 0.7765730366879422)	(126, 0.7912619857695644)	(128, 0.8056290236278638)	(130, 0.8201892082201571)	(132, 0.8344610723254741)	(134, 0.8491094326006774)	(136, 0.8638991538913399)	(138, 0.8790247825454696)
SRR7135521_2 - illumina_universal_adapter	(1, 4.478764846230707e-05)	(2, 0.00018754827793591083)	(3, 0.00031911199529393783)	(4, 0.0004926641330853778)	(5, 0.0007389961996280666)	(6, 0.0009013514253039297)	(7, 0.001125289667615465)	(8, 0.0013324325417536352)	(9, 0.0016291507128164194)	(10, 0.0021875967045808108)	(12, 0.0048888517524637055)	(14, 0.010607674615494538)	(16, 0.016999711819474426)	(18, 0.024318293501018287)	(20, 0.03175444275977571)	(22, 0.038886875777398106)	(24, 0.04528731066546468)	(26, 0.050917957845585345)	(28, 0.05588518798285809)	(30, 0.06012321921860389)	(32, 0.06369363456945842)	(34, 0.06680917536561767)	(36, 0.06951183002751501)	(38, 0.07160705220714231)	(40, 0.07334397319907116)	(42, 0.07489194629904965)	(44, 0.07633074950590127)	(46, 0.07757500636474474)	(48, 0.07872548908462024)	(50, 0.07982558569997567)	(52, 0.0810390510505013)	(54, 0.08227351061124363)	(56, 0.0834911748038126)	(58, 0.0847662231709739)	(60, 0.0860202773279185)	(62, 0.08743108825448118)	(64, 0.08888388760147727)	(66, 0.09052283561239481)	(68, 0.09225555776228032)	(70, 0.09442775871270222)	(72, 0.0966797376619476)	(74, 0.09934040390341152)	(76, 0.10253012424233646)	(78, 0.10613692955756662)	(80, 0.11039875423155801)	(82, 0.11506786658375354)	(84, 0.12064532843132521)	(86, 0.1271689293526631)	(88, 0.13473384310074968)	(90, 0.14343664304258172)	(92, 0.15366782148818997)	(94, 0.16558413520719256)	(96, 0.17946830623050775)	(98, 0.1958801801639144)	(100, 0.21460701567721654)	(102, 0.23627164100684314)	(104, 0.26169842880730354)	(106, 0.2913394544052641)	(108, 0.3250029706807457)	(110, 0.36374008775859795)	(112, 0.4072218963454258)	(114, 0.45687040427990766)	(116, 0.5129767312770485)	(118, 0.576163705573277)	(120, 0.6463683445379433)	(122, 0.723877569044009)	(124, 0.8101581745786146)	(126, 0.9038203444254144)	(128, 1.0066457872247991)	(130, 1.1181530357557992)	(132, 1.23934141442473)	(134, 1.3680793110875882)	(136, 1.505286272151866)	(138, 1.6514465640665617)
SRR7135521_2 - polya	(1, 0.01986052286500429)	(2, 0.023563901547231304)	(3, 0.027211295668880437)	(4, 0.030984655051829808)	(5, 0.03533465540873138)	(6, 0.03994218474429122)	(7, 0.04481564074259601)	(8, 0.04940637470998248)	(9, 0.05372278433053732)	(10, 0.06052910728279355)	(12, 0.06920951340039444)	(14, 0.0776155951711637)	(16, 0.0858061363837081)	(18, 0.09362018142636624)	(20, 0.10131106043575303)	(22, 0.1092776634059859)	(24, 0.11718128374556865)	(26, 0.12512549289157035)	(28, 0.13312428698413553)	(30, 0.1410139111835738)	(32, 0.14901970334621117)	(34, 0.15732221367991134)	(36, 0.16583326650176414)	(38, 0.174275738236909)	(40, 0.18258244741265253)	(42, 0.1910655079542164)	(44, 0.1999880472963166)	(46, 0.20921290326553743)	(48, 0.21830899474542909)	(50, 0.22768081018616687)	(52, 0.23773703687996925)	(54, 0.2480214006581265)	(56, 0.2588740077261493)	(58, 0.2705957750971437)	(60, 0.28259886488504204)	(62, 0.29538573852103067)	(64, 0.3091131527747278)	(66, 0.3230015226400863)	(68, 0.33757710298653837)	(70, 0.35364187264436214)	(72, 0.3713287949449301)	(74, 0.3894216053096877)	(76, 0.4078643191780571)	(78, 0.4266051508315037)	(80, 0.44504226624381527)	(82, 0.46379989326543525)	(84, 0.4819612847169008)	(86, 0.49968459698184436)	(88, 0.5164673686290795)	(90, 0.5328386537560672)	(92, 0.5489622072024977)	(94, 0.5647568513555332)	(96, 0.5809839762390328)	(98, 0.5967814196200971)	(100, 0.6120400116055995)	(102, 0.6277520785317825)	(104, 0.6436195026135691)	(106, 0.6590558455789062)	(108, 0.6742262618814983)	(110, 0.6894778557969283)	(112, 0.7047644400627195)	(114, 0.7200370281883662)	(116, 0.7350492881073257)	(118, 0.750267291286409)	(120, 0.7657596188123239)	(122, 0.7812981336007156)	(124, 0.7969066290898296)	(126, 0.8124171515979324)	(128, 0.8283769502046725)	(130, 0.8443535441795862)	(132, 0.8607920107792673)	(134, 0.8775831801105891)	(136, 0.8945451023516735)	(138, 0.911886319990673)
